ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000130762.15,ARHGEF16,ARHGEF16,-0.107,2.748,-0.557,0.581,1,-4.69955367434117
ENSG00000144589.22,STK11IP,STK11IP,-0.109,4.611,-0.558,0.581,1,-4.70219713988632
ENSG00000213463.5,SYNJ2BP,SYNJ2BP,-0.088,5.985,-0.559,0.581,1,-4.72498561471401
ENSG00000115963.14,RND3,RND3,0.194,6.519,0.558,0.581,1,-4.73480423118615
ENSG00000196498.15,NCOR2,NCOR2,-0.194,7.297,-0.558,0.581,1,-4.74252935192923
ENSG00000227066.2,,,-0.484,-5.19,-0.556,0.582,1,-4.60119947885981
ENSG00000197320.5,,,-0.473,-5.144,-0.556,0.582,1,-4.60223039905584
ENSG00000170681.7,CAVIN4,CAVIN4,-0.471,-0.826,-0.557,0.582,1,-4.60426289464075
ENSG00000226174.7,TEX22,TEX22,-0.649,-2.121,-0.557,0.582,1,-4.60605656944002
ENSG00000235381.1,,,-0.268,-0.699,-0.557,0.582,1,-4.60943990184733
ENSG00000291106.1,SNHG33,SNHG33,0.261,2.494,0.556,0.582,1,-4.61879733039112
ENSG00000290386.1,,,0.35,1.956,0.557,0.582,1,-4.62360861233525
ENSG00000121104.8,FAM117A,FAM117A,-0.205,2.798,-0.556,0.582,1,-4.63052689189024
ENSG00000290425.1,,PI4KAP1,0.426,2.448,0.556,0.582,1,-4.63130256874711
ENSG00000170085.18,SIMC1,SIMC1,0.14,3.399,0.557,0.582,1,-4.64973462347776
ENSG00000204103.4,MAFB,MAFB,-0.244,3.301,-0.557,0.582,1,-4.69417549264771
ENSG00000085978.22,ATG16L1,ATG16L1,-0.126,5.119,-0.556,0.582,1,-4.70242566983052
ENSG00000175756.14,AURKAIP1,AURKAIP1,-0.092,5.921,-0.557,0.582,1,-4.72256325576622
ENSG00000002834.19,LASP1,LASP1,-0.086,8.2,-0.556,0.582,1,-4.74759093973228
ENSG00000177757.2,FAM87B,FAM87B,0.665,-4.964,0.555,0.583,1,-4.60093520682285
ENSG00000221953.5,LINC02897,LINC02897,0.398,-2.941,0.556,0.583,1,-4.60310881079088
ENSG00000084674.15,APOB,APOB,-0.701,-3.594,-0.554,0.583,1,-4.60421126100157
ENSG00000276649.1,,,-0.349,-2.474,-0.555,0.583,1,-4.60609669463657
ENSG00000133256.13,PDE6B,PDE6B,-0.651,0.042,-0.555,0.583,1,-4.60740159391632
ENSG00000205622.13,ETS2-AS1,ETS2-AS1,-0.466,-2.185,-0.556,0.583,1,-4.60799056383526
ENSG00000120324.9,PCDHB10,PCDHB10,0.485,-0.379,0.555,0.583,1,-4.60887134847484
ENSG00000289042.1,,,-0.21,-1.132,-0.556,0.583,1,-4.60943257073648
ENSG00000259275.5,,,-0.379,-1.01,-0.556,0.583,1,-4.61031910472402
ENSG00000226696.8,LENG8-AS1,LENG8-AS1,0.235,-0.648,0.555,0.583,1,-4.61081861362654
ENSG00000115425.14,PECR,PECR,-0.223,3.264,-0.555,0.583,1,-4.6468104660946
ENSG00000171443.7,ZNF524,ZNF524,-0.142,3.688,-0.555,0.583,1,-4.66174708814531
ENSG00000132004.13,FBXW9,FBXW9,-0.217,4.058,-0.555,0.583,1,-4.67616405049389
ENSG00000169188.5,APEX2,APEX2,-0.105,4.521,-0.555,0.583,1,-4.69004365447263
ENSG00000092140.16,G2E3,G2E3,-0.182,4.903,-0.556,0.583,1,-4.69191179312176
ENSG00000075407.19,ZNF37A,ZNF37A,0.122,4.676,0.555,0.583,1,-4.70085746923898
ENSG00000172977.13,KAT5,KAT5,0.087,5.127,0.555,0.583,1,-4.70977335146279
ENSG00000173113.7,TRMT112,TRMT112,-0.169,5.787,-0.555,0.583,1,-4.71108637274398
ENSG00000108528.14,SLC25A11,SLC25A11,-0.099,5.646,-0.556,0.583,1,-4.7190592731343
ENSG00000276075.3,,,-0.518,-3.77,-0.554,0.584,1,-4.60235429591543
ENSG00000267251.2,,,0.479,-4.952,0.553,0.584,1,-4.60302276335899
ENSG00000223393.2,,,0.469,-2.651,0.554,0.584,1,-4.60344451414975
ENSG00000240219.1,,,0.487,-3.873,0.554,0.584,1,-4.60392757331571
ENSG00000289758.1,,,-0.902,-3.353,-0.554,0.584,1,-4.60495415992602
ENSG00000277782.1,,,0.378,-1.938,0.553,0.584,1,-4.60650573056164
ENSG00000184194.6,GPR173,GPR173,0.448,-0.438,0.553,0.584,1,-4.60670476579792
ENSG00000261136.1,,,0.303,-2.178,0.553,0.584,1,-4.60686741964003
ENSG00000181004.10,BBS12,BBS12,-0.161,2.982,-0.554,0.584,1,-4.63426882809748
ENSG00000187024.15,PTRH1,PTRH1,-0.176,3.228,-0.554,0.584,1,-4.63794000784356
ENSG00000285589.1,,,0.134,2.956,0.553,0.584,1,-4.64285557856554
ENSG00000116586.12,LAMTOR2,LAMTOR2,-0.139,4.914,-0.554,0.584,1,-4.68504826970553
ENSG00000148444.16,COMMD3,COMMD3,-0.144,4.947,-0.553,0.584,1,-4.68561915643474
ENSG00000173214.7,MFSD4B,MFSD4B,0.147,4.031,0.553,0.584,1,-4.68606753057426
ENSG00000184708.18,EIF4ENIF1,EIF4ENIF1,-0.123,4.554,-0.554,0.584,1,-4.68613841732567
ENSG00000168000.16,BSCL2,BSCL2,-0.182,5.132,-0.554,0.584,1,-4.69986373312592
ENSG00000100418.8,DESI1,DESI1,0.133,5.761,0.553,0.584,1,-4.71088301423772
ENSG00000188994.14,ZNF292,ZNF292,0.109,5.326,0.553,0.584,1,-4.72113171914822
ENSG00000176953.13,NFATC2IP,NFATC2IP,0.109,5.744,0.554,0.584,1,-4.72655223615713
ENSG00000164930.12,FZD6,FZD6,-0.101,6.969,-0.553,0.584,1,-4.74278554250858
ENSG00000175879.9,HOXD8,HOXD8,-0.768,-3.988,-0.552,0.585,1,-4.60154082926349
ENSG00000289412.2,,,0.505,-3.4,0.553,0.585,1,-4.6028912558505
ENSG00000289321.1,,,-0.434,-3.553,-0.553,0.585,1,-4.6030592718731
ENSG00000185518.12,SV2B,SV2B,-1.017,-2.954,-0.552,0.585,1,-4.60355289577893
ENSG00000254988.1,,,0.501,-3.897,0.553,0.585,1,-4.60403264834194
ENSG00000173200.13,PARP15,PARP15,0.371,-0.365,0.552,0.585,1,-4.60842898505567
ENSG00000221916.4,C19orf73,C19orf73,0.325,-1.316,0.552,0.585,1,-4.60886855862426
ENSG00000279789.1,,,-0.282,-0.81,-0.552,0.585,1,-4.61128130598
ENSG00000266256.3,LINC00683,LINC00683,-0.336,-0.747,-0.551,0.585,1,-4.61391520241648
ENSG00000246922.10,UBAP1L,UBAP1L,-0.219,0.232,-0.552,0.585,1,-4.61514497592996
ENSG00000238266.3,LINC00707,LINC00707,0.362,-0.988,0.553,0.585,1,-4.61646835097563
ENSG00000260219.4,CD2BP2-DT,CD2BP2-DT,-0.29,0.668,-0.552,0.585,1,-4.61698939506041
ENSG00000166762.19,CATSPER2,CATSPER2,0.269,0.525,0.553,0.585,1,-4.61989289421763
ENSG00000167772.12,ANGPTL4,ANGPTL4,0.551,4.566,0.552,0.585,1,-4.67956154951344
ENSG00000100109.17,TFIP11,TFIP11,-0.114,4.941,-0.553,0.585,1,-4.70096333220117
ENSG00000184182.19,UBE2F,UBE2F,0.13,5.338,0.552,0.585,1,-4.7038617505271
ENSG00000109854.14,HTATIP2,HTATIP2,-0.136,5.66,-0.553,0.585,1,-4.71027216766621
ENSG00000062725.10,APPBP2,APPBP2,0.096,5.678,0.552,0.585,1,-4.71622554354775
ENSG00000188522.16,FAM83G,FAM83G,0.181,5.627,0.552,0.585,1,-4.72100485282486
ENSG00000006744.19,ELAC2,ELAC2,0.135,6.111,0.553,0.585,1,-4.72907196723947
ENSG00000102780.17,DGKH,DGKH,0.132,5.58,0.552,0.585,1,-4.73187557324087
ENSG00000142765.18,SYTL1,SYTL1,-0.119,3.358,-0.552,0.585,1,-4.73321276350361
ENSG00000143819.13,EPHX1,EPHX1,-0.206,6.772,-0.552,0.585,1,-4.74484966535858
ENSG00000014216.16,CAPN1,CAPN1,-0.11,8.357,-0.553,0.585,1,-4.75234008177848
ENSG00000118946.12,PCDH17,PCDH17,1.273,-2.055,0.551,0.586,1,-4.60231619526786
ENSG00000228606.4,DCAF8-DT,DCAF8-DT,0.501,-2.533,0.551,0.586,1,-4.60527989867596
ENSG00000117601.15,SERPINC1,SERPINC1,0.44,-3.296,0.551,0.586,1,-4.60555891653353
ENSG00000260388.2,LINC00562,LINC00562,-0.284,-2.501,-0.551,0.586,1,-4.60642004471794
ENSG00000267787.7,,,-0.399,-1.582,-0.551,0.586,1,-4.60730872957063
ENSG00000198237.8,GUSBP13,GUSBP13,0.547,-0.61,0.551,0.586,1,-4.60818080625026
ENSG00000273173.6,SNURF,SNURF,0.388,-0.295,0.55,0.586,1,-4.60941636200409
ENSG00000288596.2,C8orf44,C8orf44,0.238,0.587,0.551,0.586,1,-4.61521730609532
ENSG00000290394.1,,,0.269,1.283,0.55,0.586,1,-4.61777862686907
ENSG00000172650.15,AGAP5,AGAP5,0.208,0.94,0.55,0.586,1,-4.62288186741681
ENSG00000106123.12,EPHB6,EPHB6,-0.463,0.601,-0.551,0.586,1,-4.63641549049515
ENSG00000173137.12,ADCK5,ADCK5,-0.125,3.056,-0.551,0.586,1,-4.64823238879241
ENSG00000175602.4,CCDC85B,CCDC85B,-0.27,4.384,-0.551,0.586,1,-4.6533692739888
