ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000250312.8,ZNF718,ZNF718,-0.612,-1.843,0.62,2.646,-1.015,0.318187803735485,0.700290176392038,-5.97988858601338
ENSG00000182481.10,KPNA2,KPNA2,-0.459,-1.382,0.465,6.816,-1.015,0.318283130124406,0.700425614382053,-6.57917205901178
ENSG00000169951.10,ZNF764,ZNF764,0.227,-0.23,0.685,2.908,1.015,0.318349745042772,0.700446948486963,-6.01375365826581
ENSG00000007372.25,PAX6,PAX6,1.239,-1.255,3.732,-4.074,1.015,0.318393397460503,0.700446948486963,-5.19547154518346
ENSG00000286873.1,,,-0.574,-1.73,0.582,-1.655,-1.015,0.318405528649517,0.700446948486963,-5.3332112058592
ENSG00000163687.14,DNASE1L3,DNASE1L3,-0.752,-2.265,0.762,-1.889,-1.015,0.318427980826876,0.700446948486963,-5.6141873507213
ENSG00000126698.11,DNAJC8,DNAJC8,-0.162,-0.489,0.165,6.521,-1.015,0.318501342169348,0.700533986543298,-6.5530460500006
ENSG00000101773.19,RBBP8,RBBP8,0.337,-0.342,1.017,5.787,1.015,0.318587079279426,0.700648223367548,-6.43729493247956
ENSG00000106868.17,SUSD1,SUSD1,0.425,-0.431,1.281,4.169,1.014,0.318655649731104,0.700723232693755,-6.17527963636872
ENSG00000291250.1,,,-1.548,-4.667,1.571,-5.347,-1.014,0.31868879101962,0.700723232693755,-5.20409615415005
ENSG00000115998.8,C2orf42,C2orf42,0.162,-0.164,0.488,3.271,1.014,0.318729614334592,0.70073866848617,-6.10189634354099
ENSG00000226067.7,LINC00623,LINC00623,0.518,-0.526,1.563,1.32,1.014,0.318765418565264,0.700743067535304,-5.45445193074386
ENSG00000166974.13,MAPRE2,MAPRE2,-0.456,-1.376,0.463,4.622,-1.014,0.318902279871893,0.700969596198107,-6.10881498409483
ENSG00000124762.14,CDKN1A,CDKN1A,0.286,-0.291,0.864,8.51,1.014,0.318985682721201,0.701078583843353,-6.60240999883635
