ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000121989.15,ACVR2A,ACVR2A,-0.365,-1.003,0.272,3.537,-1.171,0.251031357921872,0.770284446086226,-5.71054806371541
ENSG00000197238.5,H4C11,H4C11,-1.635,-4.489,1.219,0.126,-1.171,0.251039156669491,0.770284446086226,-5.10630289672864
ENSG00000271092.5,TLCD4-RWDD3,TLCD4-RWDD3,-0.461,-1.266,0.344,-0.751,-1.171,0.251088115405896,0.770320650046502,-5.12220737516229
ENSG00000102879.17,CORO1A,CORO1A,0.484,-0.361,1.329,1.756,1.17,0.251285757414009,0.770812925598166,-5.40103354421216
ENSG00000154274.15,C4orf19,C4orf19,1.141,-0.852,3.135,0.672,1.17,0.25133315689899,0.770815075642422,-4.89948288193256
ENSG00000170088.14,TMEM192,TMEM192,-0.262,-0.719,0.195,5.201,-1.17,0.251360825438629,0.770815075642422,-6.03241039975357
ENSG00000256043.5,CTSO,CTSO,-0.475,-1.305,0.355,4.562,-1.169,0.251814440959123,0.772067096526222,-5.84059536676256
ENSG00000100348.10,TXN2,TXN2,-0.182,-0.5,0.136,5.776,-1.169,0.251843594149074,0.772067096526222,-6.10732975509415
ENSG00000172000.7,ZNF556,ZNF556,-1.411,-3.879,1.057,-2.063,-1.168,0.252006780234509,0.77239069082171,-4.97503193522856
ENSG00000136878.14,USP20,USP20,0.272,-0.204,0.748,4.433,1.168,0.252023667762569,0.77239069082171,-5.93750869191062
ENSG00000239389.8,PCDHA13,PCDHA13,-1.207,-3.318,0.904,-3.31,-1.168,0.252083534761613,0.772459966830485,-4.85259734207916
ENSG00000198406.7,BZW1P2,BZW1P2,-0.614,-1.688,0.46,0.813,-1.168,0.252142317740078,0.772525901086583,-5.3500926390803
ENSG00000129562.11,DAD1,DAD1,-0.218,-0.599,0.163,6.521,-1.168,0.252248755054491,0.772596591124946,-6.13782849293603
ENSG00000228727.10,SAPCD1,SAPCD1,0.948,-0.711,2.607,-2.907,1.168,0.252271407603772,0.772596591124946,-4.93164610224876
ENSG00000121749.16,TBC1D15,TBC1D15,0.238,-0.179,0.656,5.285,1.168,0.252277198520249,0.772596591124946,-5.99880418331948
ENSG00000101294.19,HM13,HM13,0.202,-0.152,0.556,7.156,1.168,0.252340044025738,0.772674905857245,-6.1661217358355
ENSG00000178741.12,COX5A,COX5A,0.233,-0.175,0.642,6.611,1.167,0.252386126489037,0.772692788745436,-6.14406193276178
ENSG00000169255.15,B3GALNT1,B3GALNT1,-0.593,-1.63,0.445,3.339,-1.167,0.252420432483555,0.772692788745436,-5.61371204026077
ENSG00000036530.9,CYP46A1,CYP46A1,0.758,-0.569,2.085,-1.761,1.167,0.252538360826156,0.772829975334724,-4.98842878067323
ENSG00000167680.17,SEMA6B,SEMA6B,1.607,-1.207,4.422,-2.542,1.167,0.25253980959563,0.772829975334724,-4.87198079506209
ENSG00000293495.1,,C19orf48P,0.346,-0.26,0.952,5.443,1.167,0.252701907730286,0.773082605809091,-6.12340508905554
ENSG00000164483.17,SAMD3,SAMD3,1.367,-1.027,3.761,-4.205,1.167,0.252711972131287,0.773082605809091,-5.00049871545925
ENSG00000125503.13,PPP1R12C,PPP1R12C,0.222,-0.167,0.611,5.792,1.166,0.252761740699487,0.773082605809091,-6.11233302177064
ENSG00000143977.14,SNRPG,SNRPG,-0.447,-1.23,0.336,5.781,-1.166,0.252771581640797,0.773082605809091,-6.07716802374799
ENSG00000160588.10,MPZL3,MPZL3,-0.719,-1.978,0.541,4.363,-1.166,0.252845353435189,0.773082605809091,-5.47928662538034
ENSG00000023608.5,SNAPC1,SNAPC1,-0.599,-1.649,0.451,4.879,-1.166,0.252879238923964,0.773082605809091,-5.90519715859824
ENSG00000118620.13,ZNF430,ZNF430,-0.212,-0.583,0.159,3.95,-1.166,0.252890109711382,0.773082605809091,-5.87602567326098
ENSG00000171056.8,SOX7,SOX7,0.951,-0.716,2.618,3.269,1.166,0.252944062710273,0.773082605809091,-5.22121758308279
ENSG00000027001.10,MIPEP,MIPEP,-0.311,-0.855,0.234,5.083,-1.166,0.252962054320653,0.773082605809091,-5.95175227457004
ENSG00000268364.3,SMC5-DT,SMC5-DT,-0.547,-1.505,0.412,-1.022,-1.166,0.253016999094011,0.773082605809091,-5.08455837541965
ENSG00000138495.7,COX17,COX17,-0.462,-1.271,0.348,4.337,-1.166,0.253046801582721,0.773082605809091,-5.88856778282925
ENSG00000168243.11,GNG4,GNG4,1.43,-1.077,3.938,-0.008,1.166,0.253069877617969,0.773082605809091,-5.0907414609692
ENSG00000125149.12,PHAF1,PHAF1,-0.198,-0.546,0.149,4.165,-1.166,0.253129547556776,0.773150953418589,-5.90379240871052
ENSG00000112308.14,C6orf62,C6orf62,0.251,-0.189,0.692,7.815,1.165,0.253236173553981,0.77320828215842,-6.17503470704536
ENSG00000173011.12,TADA2B,TADA2B,0.226,-0.17,0.622,4.972,1.165,0.25325270510034,0.77320828215842,-6.02205654709366
