ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000117448.14,AKR1A1,AKR1A1,-0.023,-0.362,0.317,6.689,-0.137,0.891857373014299,0.999984495355126,-4.92665934374836
ENSG00000100744.15,GSKIP,GSKIP,-0.031,-0.491,0.429,6.005,-0.137,0.89188118348308,0.999984495355126,-4.89791380167973
ENSG00000183735.11,TBK1,TBK1,0.027,-0.37,0.423,5.044,0.137,0.891898664910246,0.999984495355126,-4.86450593285849
ENSG00000277075.3,H2AC8,H2AC8,-0.11,-1.756,1.535,-0.269,-0.137,0.891915967442261,0.999984495355126,-4.64786997490999
ENSG00000172269.20,DPAGT1,DPAGT1,-0.023,-0.363,0.317,5.11,-0.137,0.891923479535165,0.999984495355126,-4.85948155466107
ENSG00000171988.20,JMJD1C,JMJD1C,0.025,-0.354,0.405,5.73,0.137,0.892024999954555,0.999984495355126,-4.89566381481716
ENSG00000179593.16,ALOX15B,ALOX15B,-0.084,-1.338,1.17,1.827,-0.137,0.892171007246509,0.999984495355126,-4.81311592753252
ENSG00000198853.12,RUSC2,RUSC2,-0.053,-0.843,0.737,4.359,-0.137,0.892185913063526,0.999984495355126,-4.74974010695205
ENSG00000073803.14,MAP3K13,MAP3K13,-0.027,-0.428,0.374,5.287,-0.137,0.892229829769791,0.999984495355126,-4.86866569684082
ENSG00000288852.1,,,0.058,-0.812,0.928,0.093,0.137,0.892231382194976,0.999984495355126,-4.64693514964274
ENSG00000280106.1,,,0.08,-1.113,1.273,-1.247,0.137,0.892318511940952,0.999984495355126,-4.6297944850007
ENSG00000070193.5,FGF10,FGF10,-0.251,-4.004,3.502,-5.752,-0.137,0.892341389522444,0.999984495355126,-4.6116010722051
ENSG00000146376.11,ARHGAP18,ARHGAP18,-0.053,-0.842,0.737,6.113,-0.136,0.892361446208716,0.999984495355126,-4.82603686626802
ENSG00000291181.2,,,-0.1,-1.604,1.404,1.353,-0.136,0.89236169877078,0.999984495355126,-4.6728165347539
ENSG00000123737.13,EXOSC9,EXOSC9,0.042,-0.582,0.666,4.497,0.136,0.892371692117206,0.999984495355126,-4.77932911975551
ENSG00000185304.16,RGPD2,RGPD2,-0.227,-3.629,3.175,-0.413,-0.136,0.892414352164189,0.999984495355126,-4.64969158016095
ENSG00000112357.14,PEX7,PEX7,-0.039,-0.625,0.547,3.394,-0.136,0.892418018316972,0.999984495355126,-4.74661026380765
ENSG00000011485.15,PPP5C,PPP5C,-0.025,-0.395,0.345,5.764,-0.136,0.89242110031898,0.999984495355126,-4.90045415701679
ENSG00000272121.1,,,0.155,-2.173,2.484,-2.776,0.136,0.892432938709203,0.999984495355126,-4.622544053366
ENSG00000133116.8,KL,KL,-0.149,-2.378,2.08,-2.529,-0.136,0.8924457268867,0.999984495355126,-4.62058083579263
ENSG00000166819.12,PLIN1,PLIN1,-0.077,-1.23,1.076,-1.21,-0.136,0.892493719011489,0.999984495355126,-4.65033278216705
ENSG00000165633.13,VSTM4,VSTM4,-0.251,-4.009,3.508,-3.04,-0.136,0.89249412505634,0.999984495355126,-4.61184074558167
ENSG00000224950.2,,,-0.077,-1.231,1.077,-2.14,-0.136,0.892495688477984,0.999984495355126,-4.63118052162138
ENSG00000161249.21,DMKN,DMKN,0.051,-0.709,0.811,3.183,0.136,0.892520249079824,0.999984495355126,-4.84837812242614
