ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000152931.9,PART1,PART1,-0.232,-1.75,1.287,-1.409,-0.312,0.757484140549275,0.999287367938016,-5.86856112796358
ENSG00000255062.2,TIRAP-AS1,TIRAP-AS1,0.273,-1.518,2.065,-3.045,0.312,0.757570431974181,0.999287367938016,-5.52484351950751
ENSG00000260793.4,,ATXN7L3-AS1,0.137,-0.762,1.036,-0.183,0.312,0.757571018691117,0.999287367938016,-5.83340614279493
ENSG00000269318.1,,,0.17,-0.947,1.288,-2.017,0.312,0.75759021655066,0.999287367938016,-5.58917121178371
ENSG00000263740.2,RN7SL4P,RN7SL4P,-0.115,-0.867,0.637,-1.936,-0.312,0.757604029770002,0.999287367938016,-5.94177861662414
ENSG00000287906.1,,,0.11,-0.612,0.832,-1.292,0.311,0.75771076192525,0.999287367938016,-6.05232275702109
ENSG00000198865.10,CCDC152,CCDC152,-0.302,-2.282,1.679,0.313,-0.311,0.757712446460197,0.999287367938016,-5.76842448508472
ENSG00000102893.18,PHKB,PHKB,0.052,-0.287,0.391,6.454,0.311,0.757770071361465,0.999287367938016,-6.87189192728577
ENSG00000136352.20,NKX2-1,NKX2-1,-0.132,-0.999,0.735,1.194,-0.311,0.75778650375436,0.999287367938016,-6.65142198618949
ENSG00000132821.12,VSTM2L,VSTM2L,-0.107,-0.807,0.594,4.844,-0.311,0.75790502601464,0.999287367938016,-6.76670391018038
ENSG00000259347.9,SMAD3-DT,SMAD3-DT,-0.362,-2.739,2.015,-3.807,-0.311,0.757980535241077,0.999287367938016,-5.41789816575667
ENSG00000196189.14,SEMA4A,SEMA4A,0.059,-0.331,0.45,3.589,0.311,0.758044073965564,0.999287367938016,-6.79527388318771
ENSG00000243701.8,DUBR,DUBR,0.182,-1.016,1.381,2.69,0.311,0.758053981434625,0.999287367938016,-6.01200813703925
ENSG00000290729.1,,,0.263,-1.463,1.988,-3.479,0.311,0.758080260625611,0.999287367938016,-5.5546654075282
ENSG00000261423.3,TMEM202-AS1,TMEM202-AS1,-0.127,-0.963,0.709,-0.408,-0.311,0.758156452856018,0.999287367938016,-5.78230474135158
ENSG00000212766.9,EWSAT1,EWSAT1,0.327,-1.827,2.482,-3.978,0.311,0.758225518477686,0.999287367938016,-5.38769154185581
ENSG00000167797.8,CDK2AP2,CDK2AP2,-0.068,-0.518,0.381,5.639,-0.311,0.758321929106764,0.999287367938016,-6.78803761553217
ENSG00000160862.13,AZGP1,AZGP1,-0.295,-2.239,1.648,-0.62,-0.311,0.758349391619477,0.999287367938016,-6.13051909706013
ENSG00000089101.19,CFAP61,CFAP61,-0.491,-3.722,2.74,-1.238,-0.311,0.758355365217587,0.999287367938016,-5.53450202720761
ENSG00000007062.12,PROM1,PROM1,-0.394,-2.99,2.201,0.938,-0.31,0.758364445395292,0.999287367938016,-5.89511134675212
ENSG00000007171.19,NOS2,NOS2,-0.457,-3.465,2.551,-3.549,-0.31,0.758436577200104,0.999287367938016,-5.38424355545266
ENSG00000265808.4,SEC22B,SEC22B,0.043,-0.243,0.33,6.865,0.31,0.758444444166781,0.999287367938016,-6.88165781627195
ENSG00000067836.13,ROGDI,ROGDI,-0.099,-0.747,0.55,4.765,-0.31,0.75858785084157,0.999287367938016,-6.65620165387188
ENSG00000004838.14,ZMYND10,ZMYND10,-0.375,-2.847,2.097,1.311,-0.31,0.75872295439903,0.999287367938016,-5.73165181157233
ENSG00000071539.14,TRIP13,TRIP13,0.258,-1.441,1.956,3.889,0.31,0.758735862620526,0.999287367938016,-6.38752993066108
ENSG00000078699.22,CBFA2T2,CBFA2T2,0.094,-0.524,0.712,4.479,0.31,0.758738081376979,0.999287367938016,-6.61920698691292
ENSG00000293503.1,,,-0.363,-2.755,2.029,-0.834,-0.31,0.758827871019575,0.999287367938016,-5.68728701882765
ENSG00000255153.1,TOLLIP-DT,TOLLIP-DT,-0.126,-0.955,0.704,-0.554,-0.31,0.758937605376491,0.999287367938016,-5.73725515933241
ENSG00000065923.10,SLC9A7,SLC9A7,-0.199,-1.512,1.114,4.256,-0.31,0.75895497352749,0.999287367938016,-6.44800506581832
ENSG00000116194.13,ANGPTL1,ANGPTL1,0.494,-2.767,3.755,-4.444,0.31,0.759062353930538,0.999287367938016,-5.35138464608534
ENSG00000136378.15,ADAMTS7,ADAMTS7,0.27,-1.514,2.054,2.494,0.309,0.75923315238426,0.999287367938016,-6.01180499271271
ENSG00000042781.14,USH2A,USH2A,-0.377,-2.868,2.114,-3.532,-0.309,0.759253722196027,0.999287367938016,-5.39120936297528
ENSG00000189227.6,C15orf61,C15orf61,0.076,-0.428,0.58,2.122,0.309,0.759322328048829,0.999287367938016,-6.11180388950293
ENSG00000284048.2,,,-0.786,-5.979,4.408,-5.179,-0.309,0.759329271827907,0.999287367938016,-5.34239049351316
ENSG00000189058.9,APOD,APOD,-0.417,-3.174,2.34,2.961,-0.309,0.759382818399026,0.999287367938016,-6.26001433759648
ENSG00000127561.16,SYNGR3,SYNGR3,-0.227,-1.731,1.276,0.022,-0.309,0.759406388824645,0.999287367938016,-5.78007548458061
ENSG00000221866.10,PLXNA4,PLXNA4,0.542,-3.047,4.132,-1.191,0.309,0.75961599293196,0.999287367938016,-5.57049099051768
ENSG00000143878.10,RHOB,RHOB,0.176,-0.99,1.343,6.65,0.309,0.759673661121519,0.999287367938016,-6.79806940894591
ENSG00000173894.11,CBX2,CBX2,0.176,-0.988,1.34,1.771,0.309,0.759678465461671,0.999287367938016,-6.08932705487891
ENSG00000167232.14,ZNF91,ZNF91,-0.079,-0.602,0.444,4.303,-0.309,0.759716951641406,0.999287367938016,-6.64146328124396
ENSG00000183153.7,GJD3,GJD3,-0.378,-2.88,2.124,0.012,-0.309,0.759807873207357,0.999287367938016,-5.65999739721456
ENSG00000269834.8,ZNF528-AS1,ZNF528-AS1,0.146,-0.819,1.11,1.281,0.309,0.759863650390591,0.999287367938016,-5.98543026439587
ENSG00000187013.4,LINC02875,LINC02875,-0.239,-1.821,1.343,-1.24,-0.308,0.759902010769072,0.999287367938016,-5.58171205856195
ENSG00000285238.2,,,1.153,-6.49,8.796,-0.432,0.308,0.75995342778678,0.999287367938016,-5.62139153021379
ENSG00000231728.5,TMSB15B-AS1,TMSB15B-AS1,-0.503,-3.839,2.833,-3.516,-0.308,0.760067636227822,0.999287367938016,-5.39980556511691
ENSG00000054179.12,ENTPD2,ENTPD2,-0.18,-1.377,1.016,-1.417,-0.308,0.760077109974969,0.999287367938016,-5.69616221951348
ENSG00000198435.4,NRARP,NRARP,-0.318,-2.428,1.791,2.582,-0.308,0.760128551178389,0.999287367938016,-5.86483248488015
ENSG00000001617.12,SEMA3F,SEMA3F,0.143,-0.805,1.09,6.42,0.308,0.760156398949384,0.999287367938016,-6.71254861556455
ENSG00000289182.1,,,-0.197,-1.505,1.11,-1.358,-0.308,0.76020622371866,0.999287367938016,-5.65095396625307
ENSG00000156687.11,UNC5D,UNC5D,-0.612,-4.675,3.452,-4.318,-0.308,0.760487457169068,0.999287367938016,-5.40622739436838
ENSG00000162734.13,PEA15,PEA15,0.084,-0.474,0.642,7.396,0.308,0.760580333103668,0.999287367938016,-6.87556169865769
