ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000107566.14,ERLIN1,ERLIN1,0.39,6.232,2.002,0.055,0.206,-5.1546875686484
ENSG00000099624.8,ATP5F1D,ATP5F1D,-0.368,6.009,-1.997,0.055,0.207,-5.15868319772578
ENSG00000167863.12,ATP5PD,ATP5PD,-0.469,6.605,-1.994,0.055,0.208,-5.18528384745852
ENSG00000014641.21,MDH1,MDH1,-0.396,7.193,-1.997,0.055,0.207,-5.19846437208719
ENSG00000143420.19,ENSA,ENSA,-0.347,7.183,-1.999,0.055,0.207,-5.20022398908315
ENSG00000271303.2,SRXN1,SRXN1,-0.382,6.167,-1.997,0.055,0.207,-5.20136953368425
ENSG00000142910.16,TINAGL1,TINAGL1,0.585,6.617,1.996,0.055,0.207,-5.21264176218306
ENSG00000143153.14,ATP1B1,ATP1B1,-0.542,8.08,-2,0.055,0.206,-5.2252132877881
ENSG00000101152.12,DNAJC5,DNAJC5,0.314,7.571,2.001,0.055,0.206,-5.22573723160382
ENSG00000080709.17,KCNN2,KCNN2,-2.238,-2.648,-1.988,0.056,0.21,-3.94675662132828
ENSG00000111837.12,MAK,MAK,2.478,-1.28,1.987,0.056,0.21,-3.96024123825934
ENSG00000287725.2,,,2.885,-3.278,1.993,0.056,0.208,-4.00377148561602
ENSG00000267745.1,,,-0.918,0.714,-1.987,0.056,0.21,-4.19465994721733
ENSG00000276334.1,,,0.78,-1.035,1.99,0.056,0.209,-4.20841718047034
ENSG00000186462.9,NAP1L2,NAP1L2,-0.995,-1.154,-1.993,0.056,0.208,-4.25067992274881
ENSG00000137218.10,FRS3,FRS3,-0.748,1.355,-1.986,0.056,0.21,-4.25890987475049
ENSG00000185304.16,RGPD2,RGPD2,2.65,-0.413,1.992,0.056,0.209,-4.32405112264134
ENSG00000186994.12,KANK3,KANK3,1.332,1.117,1.986,0.056,0.21,-4.38068639721838
ENSG00000175106.17,TVP23C,TVP23C,1.165,2.413,1.991,0.056,0.209,-4.38440758351454
ENSG00000212802.4,RPL15P3,RPL15P3,-0.415,1.308,-1.985,0.056,0.211,-4.43235308785403
ENSG00000257337.9,TNS2-AS1,TNS2-AS1,0.527,1.561,1.986,0.056,0.21,-4.45438971204419
