# TIMESTAMP|SAMPLE_ID|JOBID|STATUS|ELAPSED_TIME|NODE
2026-01-13 17:31:08|sample15|4274651|R|36:56|stratus01.bwh.harvard.edu
2026-01-13 17:31:08|sample16|4274655|R|36:05|derby16.bwh.harvard.edu
2026-01-13 17:31:08|sample17|4274659|R|35:26|cirrus02.bwh.harvard.edu
2026-01-13 17:31:09|sample18|4274664|R|34:38|stratus03.bwh.harvard.edu
2026-01-13 17:31:09|sample38|4274825|R|16:58|green07.bwh.harvard.edu
2026-01-13 17:33:09|sample1|4274613|R|44:26|cirrus02.bwh.harvard.edu
2026-01-13 17:33:10|sample2|4274614|R|44:14|cirrus02.bwh.harvard.edu
2026-01-13 17:33:10|sample3|4274615|R|44:01|cirrus02.bwh.harvard.edu
2026-01-13 17:33:10|sample4|4274617|R|43:35|green07.bwh.harvard.edu
2026-01-13 17:33:11|sample5|4274619|R|43:12|green07.bwh.harvard.edu
2026-01-13 17:33:11|sample6|4274622|R|42:46|green07.bwh.harvard.edu
2026-01-13 17:33:11|sample7|4274626|R|42:21|chanstack2.bwh.harvard.edu
2026-01-13 17:33:11|sample8|4274630|R|41:56|chanstack3.bwh.harvard.edu
2026-01-13 17:33:12|sample9|4274633|R|41:29|stratus03.bwh.harvard.edu
2026-01-13 17:33:12|sample10|4274637|R|41:04|stratus03.bwh.harvard.edu
2026-01-13 17:33:12|sample11|4274639|R|40:41|stratus03.bwh.harvard.edu
2026-01-13 17:33:13|sample12|4274642|R|40:17|stratus01.bwh.harvard.edu
2026-01-13 17:33:13|sample13|4274645|R|39:51|stratus01.bwh.harvard.edu
2026-01-13 17:33:13|sample14|4274647|R|39:26|stratus01.bwh.harvard.edu
2026-01-13 17:33:13|sample15|4274651|R|39:01|stratus01.bwh.harvard.edu
2026-01-13 17:33:13|sample16|4274655|R|38:10|derby16.bwh.harvard.edu
2026-01-13 17:33:14|sample17|4274659|R|37:32|cirrus02.bwh.harvard.edu
2026-01-13 17:33:14|sample18|4274664|R|36:43|stratus03.bwh.harvard.edu
2026-01-13 17:33:14|sample38|4274825|R|19:03|green07.bwh.harvard.edu
2026-01-13 17:35:14|sample1|4274613|R|46:31|cirrus02.bwh.harvard.edu
2026-01-13 17:35:15|sample2|4274614|R|46:19|cirrus02.bwh.harvard.edu
2026-01-13 17:35:15|sample3|4274615|R|46:06|cirrus02.bwh.harvard.edu
2026-01-13 17:35:15|sample4|4274617|R|45:40|green07.bwh.harvard.edu
2026-01-13 17:35:15|sample5|4274619|R|45:16|green07.bwh.harvard.edu
2026-01-13 17:35:16|sample6|4274622|R|44:51|green07.bwh.harvard.edu
2026-01-13 17:35:16|sample7|4274626|R|44:26|chanstack2.bwh.harvard.edu
2026-01-13 17:35:16|sample8|4274630|R|44:01|chanstack3.bwh.harvard.edu
2026-01-13 17:35:17|sample9|4274633|R|43:34|stratus03.bwh.harvard.edu
2026-01-13 17:35:17|sample10|4274637|R|43:09|stratus03.bwh.harvard.edu
2026-01-13 17:35:17|sample11|4274639|R|42:46|stratus03.bwh.harvard.edu
2026-01-13 17:35:17|sample12|4274642|R|42:21|stratus01.bwh.harvard.edu
2026-01-13 17:35:18|sample13|4274645|R|41:56|stratus01.bwh.harvard.edu
2026-01-13 17:35:18|sample14|4274647|R|41:31|stratus01.bwh.harvard.edu
2026-01-13 17:35:18|sample15|4274651|R|41:06|stratus01.bwh.harvard.edu
2026-01-13 17:35:18|sample16|4274655|R|40:15|derby16.bwh.harvard.edu
2026-01-13 17:35:18|sample17|4274659|R|39:36|cirrus02.bwh.harvard.edu
2026-01-13 17:35:19|sample18|4274664|R|38:48|stratus03.bwh.harvard.edu
